,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,agegroup,hoursgroup,nativecountry,income
23,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,40 - 49,30 - 39,United-States,>50K
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
25,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
26,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40 - 49,50 - 59,United-States,>50K
27,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
28,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
29,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
30,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,20 - 29,50 - 59,United-States,>50K
35,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,30 - 39,United-States,>50K
36,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
37,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,30 - 39,United-States,>50K
38,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,20 - 29,20 - 29,United-States,>50K
39,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
41,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40 - 49,30 - 39,United-States,>50K
42,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
43,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
44,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
45,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,90 - 99,United-States,>50K
46,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40 - 49,50 - 59,South,>50K
47,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
48,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
49,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,60 - 69,Italy,>50K
50,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,30 - 39,40 - 49,Philippines,>50K
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,40 - 49,United-States,>50K
52,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20 - 29,40 - 49,United-States,>50K
53,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
54,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
55,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
56,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
57,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
59,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
60,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
61,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
62,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,60 - 69,United-States,>50K
63,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
64,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
65,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,50 - 59,40 - 49,United-States,>50K
66,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,40 - 49,10 - 19,United-States,>50K
67,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,50 - 59,40 - 49,United-States,>50K
68,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,30 - 39,United-States,>50K
69,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
70,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,30 - 39,30 - 39,United-States,>50K
71,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,10 - 19,United-States,>50K
72,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
73,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,70 - 79,United-States,>50K
74,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
75,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
76,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
77,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
78,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,60 - 69,United-States,>50K
79,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
80,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,40 - 49,20 - 29,United-States,>50K
82,Self-emp-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
83,Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
84,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,20 - 29,United-States,>50K
85,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
86,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,90 - 99,United-States,>50K
87,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
89,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,30 - 39,40 - 49,Japan,>50K
90,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40 - 49,60 - 69,Taiwan,>50K
91,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,50 - 59,50 - 59,United-States,>50K
92,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
93,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
94,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
95,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
96,Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
97,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,50 - 59,30 - 39,United-States,>50K
98,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
99,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
100,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
101,Private,Doctorate,16,Married-civ-spouse,Tech-support,Husband,White,Male,50 - 59,40 - 49,Germany,>50K
102,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,40 - 49,United-States,>50K
103,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
104,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
105,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,50 - 59,10 - 19,United-States,>50K
106,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,60 - 69,United-States,>50K
107,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
108,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,40 - 49,60 - 69,United-States,>50K
109,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
110,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40 - 49,40 - 49,Hong,>50K
111,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
112,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,20 - 29,United-States,>50K
114,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
115,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
117,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
118,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
119,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,20 - 29,40 - 49,United-States,<=50K
120,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
121,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,40 - 49,40 - 49,United-States,<=50K
122,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,30 - 39,40 - 49,United-States,<=50K
123,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
124,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
125,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,20 - 29,50 - 59,United-States,<=50K
126,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,40 - 49,40 - 49,United-States,<=50K
127,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,30 - 39,40 - 49,United-States,<=50K
128,Private,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,20 - 29,40 - 49,United-States,<=50K
129,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
130,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,30 - 39,40 - 49,United-States,<=50K
131,Private,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,30 - 39,40 - 49,United-States,<=50K
132,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,20 - 29,30 - 39,United-States,<=50K
133,Private,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,20 - 29,20 - 29,United-States,<=50K
134,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
135,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,60 - 69,40 - 49,United-States,<=50K
136,Self-emp-not-inc,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,70 - 79,0 - 9,United-States,<=50K
137,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,40 - 49,60 - 69,Honduras,>50K
138,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
139,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
140,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
141,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,England,>50K
142,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,60 - 69,United-States,>50K
143,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
144,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
145,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
146,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,40 - 49,40 - 49,United-States,>50K
147,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
148,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50 - 59,60 - 69,United-States,>50K
149,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
150,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,50 - 59,40 - 49,United-States,>50K
151,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
152,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
153,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
154,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40 - 49,30 - 39,United-States,>50K
155,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
156,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
157,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
159,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,40 - 49,40 - 49,United-States,>50K
160,Private,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,50 - 59,40 - 49,Philippines,>50K
161,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,40 - 49,80 - 89,United-States,>50K
162,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40 - 49,40 - 49,United-States,>50K
163,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
164,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
165,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
166,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
168,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
169,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
170,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,Puerto-Rico,>50K
171,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
172,Federal-gov,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,40 - 49,40 - 49,Philippines,>50K
173,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,50 - 59,30 - 39,United-States,>50K
174,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,50 - 59,40 - 49,United-States,>50K
175,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
176,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40 - 49,60 - 69,United-States,>50K
177,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
178,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,20 - 29,50 - 59,United-States,<=50K
179,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
180,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
181,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,30 - 39,40 - 49,United-States,>50K
182,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
183,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
184,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
185,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
186,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40 - 49,70 - 79,Canada,>50K
187,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,Germany,>50K
188,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,30 - 39,United-States,>50K
189,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,30 - 39,30 - 39,United-States,>50K
190,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
191,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
192,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
193,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
194,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,50 - 59,40 - 49,United-States,>50K
195,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,10 - 19,United-States,>50K
196,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
197,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
198,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
199,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,20 - 29,40 - 49,United-States,>50K
200,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
201,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
202,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
204,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,Greece,>50K
206,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40 - 49,40 - 49,United-States,>50K
207,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
208,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
209,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,30 - 39,United-States,>50K
210,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
211,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
212,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
213,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
214,State-gov,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,50 - 59,United-States,>50K
215,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
216,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40 - 49,40 - 49,United-States,>50K
217,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
218,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
219,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
220,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
221,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
222,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40 - 49,40 - 49,South,>50K
223,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
224,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
225,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50 - 59,40 - 49,United-States,>50K
226,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,30 - 39,United-States,>50K
227,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
228,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
229,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Black,Male,30 - 39,50 - 59,United-States,>50K
230,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
231,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
232,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
233,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
234,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
235,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
236,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40 - 49,30 - 39,United-States,>50K
